description,industry,level,size,line_code,value,Unit,footnotes
Total number of businesses,total,0,6�19 employees,,35562,Number of businesses,1 and 2 and 3 and 4 and 6
Total number of businesses,total,0,20�49 employees,,8796,Number of businesses,1 and 2 and 3 and 4 and 6
Total number of businesses,total,0,50�99 employees,,2529,Number of businesses,1 and 2 and 3 and 4 and 6
Total number of businesses,total,0,100+ employees,,2100,Number of businesses,1 and 2 and 3 and 4 and 6
Total number of businesses,"Agriculture, forestry, & fishing",1,total,,3756,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Agriculture,2,total,,2460,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Commercial fishing,2,total,,57,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Forestry & logging,2,total,,258,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Agriculture, forestry, & fishing support services",2,total,,981,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Mining,1,total,,120,Number of businesses,1 and 2 and 3 and 5 and 6
Total number of businesses,Manufacturing,1,total,,5421,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Food, beverage, & tobacco",2,total,,1233,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Textile, clothing, footwear, & leather",2,total,,255,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Wood & paper product,2,total,,516,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Printing, publishing, & recorded media",2,total,,201,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Petroleum, coal, chemical, & associated product",2,total,,447,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Non-metallic mineral product,2,total,,210,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Metal product,2,total,,1002,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Transport and industrial machinery & equipment,2,total,,948,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other machinery & equipment,2,total,,237,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other manufacturing,2,total,,372,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Electricity, gas, water, & waste services",1,total,,207,Number of businesses,1 and 2 and 3 and 5 and 6
Total number of businesses,Construction,1,total,,7440,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Wholesale trade,1,total,,3228,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Machinery & equipment wholesaling,2,total,,951,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other wholesale trade,2,total,,2274,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Retail trade,1,total,,5070,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Accommodation & food services,1,total,,6774,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Transport, postal, & warehousing",1,total,,1677,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Information media & telecommunications,1,total,,459,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Publishing,2,total,,189,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Motion picture,2,total,,144,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Telecommunications,2,total,,126,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Financial & insurance services,1,total,,696,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Finance,2,total,,213,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Insurance,2,total,,36,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Auxiliary,2,total,,447,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Rental, hiring, & real estate services",1,total,,1044,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Professional, scientific, & technical services",1,total,,5190,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Computer systems design,2,total,,990,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other professional scientific,2,total,,4203,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Administrative & support services,1,total,,1845,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Education & training,1,total,,1182,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Health care & social assistance,1,total,,2925,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Arts & recreation services,1,total,,567,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other services,1,total,,1383,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,total,0,total,,48990,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,total,0,6�19 employees,D0201.01,23751,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,total,0,20�49 employees,D0201.01,6435,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,total,0,50�99 employees,D0201.01,1809,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,total,0,100+ employees,D0201.01,1491,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Agriculture, forestry, & fishing",1,total,D0201.01,2313,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Agriculture,2,total,D0201.01,1590,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Commercial fishing,2,total,D0201.01,48,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Forestry & logging,2,total,D0201.01,129,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Agriculture, forestry, & fishing support services",2,total,D0201.01,546,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Mining,1,total,D0201.01,75,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Manufacturing,1,total,D0201.01,3849,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Food, beverage, & tobacco",2,total,D0201.01,855,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Textile, clothing, footwear, & leather",2,total,D0201.01,171,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Wood & paper product,2,total,D0201.01,369,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Printing, publishing, & recorded media",2,total,D0201.01,117,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Petroleum, coal, chemical, & associated product",2,total,D0201.01,303,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Non-metallic mineral product,2,total,D0201.01,150,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Metal product,2,total,D0201.01,744,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Transport and industrial machinery & equipment,2,total,D0201.01,702,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Other machinery & equipment,2,total,D0201.01,174,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Other manufacturing,2,total,D0201.01,264,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Electricity, gas, water, & waste services",1,total,D0201.01,159,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Construction,1,total,D0201.01,5310,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Wholesale trade,1,total,D0201.01,2274,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Machinery & equipment wholesaling,2,total,D0201.01,744,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Other wholesale trade,2,total,D0201.01,1527,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Retail trade,1,total,D0201.01,2991,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Accommodation & food services,1,total,D0201.01,3876,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Transport, postal, & warehousing",1,total,D0201.01,1074,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Information media & telecommunications,1,total,D0201.01,342,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Publishing,2,total,D0201.01,135,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Motion picture,2,total,D0201.01,105,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Telecommunications,2,total,D0201.01,102,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Financial & insurance services,1,total,D0201.01,564,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Finance,2,total,D0201.01,165,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Insurance,2,total,D0201.01,30,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Auxiliary,2,total,D0201.01,369,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Rental, hiring, & real estate services",1,total,D0201.01,693,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,"Professional, scientific, & technical services",1,total,D0201.01,4398,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Computer systems design,2,total,D0201.01,780,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Other professional scientific,2,total,D0201.01,3624,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Administrative & support services,1,total,D0201.01,1203,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Education & training,1,total,D0201.01,855,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Health care & social assistance,1,total,D0201.01,2229,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Arts & recreation services,1,total,D0201.01,339,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,Other services,1,total,D0201.01,942,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: Not at all,total,0,total,D0201.01,33489,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,total,0,6�19 employees,D0201.02,5028,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,total,0,20�49 employees,D0201.02,1152,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,total,0,50�99 employees,D0201.02,369,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,total,0,100+ employees,D0201.02,321,Number of businesses,1 and 2 and 3 and 4 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Agriculture, forestry, & fishing",1,total,D0201.02,627,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Agriculture,2,total,D0201.02,330,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Commercial fishing,2,total,D0201.02,6,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Forestry & logging,2,total,D0201.02,69,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Agriculture, forestry, & fishing support services",2,total,D0201.02,225,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Mining,1,total,D0201.02,24,Number of businesses,1 and 2 and 3 and 5 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Manufacturing,1,total,D0201.02,705,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Food, beverage, & tobacco",2,total,D0201.02,177,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Textile, clothing, footwear, & leather",2,total,D0201.02,33,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Wood & paper product,2,total,D0201.02,78,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Printing, publishing, & recorded media",2,total,D0201.02,51,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,"Petroleum, coal, chemical, & associated product",2,total,D0201.02,75,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Non-metallic mineral product,2,total,D0201.02,36,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Metal product,2,total,D0201.02,105,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Transport and industrial machinery & equipment,2,total,D0201.02,93,Number of businesses,1 and 2 and 3 and 6
Business experienced as a result of climate change and associated policies and regulations in last 2 years: Reduced demand for products and / or services: a little,Other machinery & equipment,2,total,D0201.02,9,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Other machinery & equipment,2,total,D0409,33,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Other manufacturing,2,total,D0409,21,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,"Electricity, gas, water, & waste services",1,total,D0409,51,Number of businesses,1 and 2 and 3 and 5 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Construction,1,total,D0409,297,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Wholesale trade,1,total,D0409,324,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Machinery & equipment wholesaling,2,total,D0409,120,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Other wholesale trade,2,total,D0409,201,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Retail trade,1,total,D0409,654,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Accommodation & food services,1,total,D0409,273,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,"Transport, postal, & warehousing",1,total,D0409,225,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Information media & telecommunications,1,total,D0409,60,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Publishing,2,total,D0409,15,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Motion picture,2,total,D0409,24,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Telecommunications,2,total,D0409,18,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Financial & insurance services,1,total,D0409,69,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Finance,2,total,D0409,30,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Insurance,2,total,D0409,9,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Auxiliary,2,total,D0409,33,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,"Rental, hiring, & real estate services",1,total,D0409,87,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,"Professional, scientific, & technical services",1,total,D0409,399,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Computer systems design,2,total,D0409,96,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Other professional scientific,2,total,D0409,309,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Administrative & support services,1,total,D0409,213,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Education & training,1,total,D0409,72,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Health care & social assistance,1,total,D0409,372,Number of businesses,1 and 2 and 3 and 6
Changes made in the last 2 financial years: took steps to reduce the risks to this business from the physical impacts of climate change,Arts & recreation services,1,total,D0409,60,Number of businesses,1 and 2 and 3 and 6
